,is_installed,num_docks_available,is_returning,num_bikes_disabled,num_ebikes_available,num_bikes_available
72,1,41,1,2,0,12
79,1,14,1,1,0,18
82,1,17,1,1,0,9
83,1,27,1,2,0,33
119,1,6,1,6,0,7
120,1,10,1,0,0,9
127,1,11,1,1,0,19
128,1,2,1,4,0,24
143,1,9,1,1,0,14
144,1,4,1,2,0,13
146,1,27,1,1,0,11
150,1,29,1,4,0,21
151,1,27,1,0,0,6
157,1,8,1,3,0,11
161,1,20,1,1,0,14
164,1,47,1,0,0,0
167,1,29,1,4,0,12
168,1,29,1,1,0,17
173,1,46,1,2,0,3
174,1,23,1,2,0,5
195,1,39,1,0,0,6
212,1,59,1,1,0,0
216,1,20,1,0,0,3
217,1,27,1,0,0,12
223,1,29,1,3,0,1
224,1,15,1,0,0,16
228,1,51,1,0,0,3
229,1,4,1,0,0,19
236,1,24,1,4,0,19
237,1,0,1,2,0,25
238,1,18,1,0,0,13
239,1,15,1,0,0,16
241,1,17,1,0,0,6
242,1,5,1,1,0,17
243,1,4,1,0,0,27
244,1,15,1,0,0,16
245,1,12,1,0,0,11
247,1,40,1,2,0,12
248,1,7,1,3,0,13
249,1,22,1,1,0,4
251,1,13,1,1,0,13
252,1,20,1,2,0,11
254,1,45,1,4,0,10
257,1,20,1,2,0,17
258,1,10,1,1,0,12
259,1,27,1,3,0,9
260,1,30,1,0,0,3
261,1,13,1,0,0,14
262,1,18,1,0,0,6
264,1,19,1,0,0,7
265,1,15,1,2,0,18
266,1,13,1,2,0,15
267,0,0,0,0,0,0
268,1,0,1,1,0,26
270,1,12,1,4,0,7
274,1,12,1,1,0,18
275,1,14,1,1,0,4
276,1,18,1,0,0,7
278,1,3,1,2,0,14
279,1,27,1,0,0,9
280,1,22,1,1,0,8
281,1,30,1,2,0,34
282,0,0,0,0,0,0
284,1,32,1,0,0,11
285,1,26,1,0,0,27
289,1,12,1,0,0,7
291,1,9,1,2,0,9
293,1,34,1,1,0,20
295,1,20,1,2,0,2
296,1,19,1,1,0,15
297,1,22,1,2,0,3
298,1,20,1,1,0,14
301,1,33,1,0,0,24
302,1,18,1,1,0,4
303,1,31,1,1,0,35
304,1,15,1,0,0,18
305,1,24,1,0,0,9
307,1,20,1,1,0,9
308,1,13,1,0,0,14
309,1,40,1,0,0,1
310,1,22,1,0,0,14
311,1,13,1,6,0,12
312,1,17,1,2,0,12
313,1,12,1,1,0,10
314,1,21,1,1,0,17
315,1,2,1,1,0,26
316,1,27,1,0,0,16
317,1,24,1,0,0,30
319,1,24,1,0,0,9
320,1,20,1,0,0,7
321,1,19,1,0,0,8
323,1,2,0,3,0,22
324,1,30,1,1,0,20
325,1,10,1,2,0,23
326,1,18,1,3,0,20
327,1,15,1,0,0,24
328,1,13,1,0,0,10
330,1,21,1,2,0,16
331,1,16,1,0,0,11
332,1,18,1,1,0,17
334,1,27,1,0,0,4
335,1,20,1,0,0,7
336,1,2,1,2,0,32
337,1,22,1,0,0,15
339,1,16,1,1,0,13
340,1,14,1,1,0,12
341,1,3,1,0,0,16
342,1,10,1,0,0,19
343,1,10,1,1,0,12
344,1,12,1,2,0,9
346,1,5,1,0,0,22
347,1,25,1,0,0,10
349,1,28,1,1,0,32
350,1,15,1,1,0,12
351,1,5,1,1,0,33
353,1,13,1,1,0,13
354,1,9,1,2,0,12
355,1,9,1,1,0,33
356,1,10,1,3,0,10
357,0,0,0,0,0,0
358,1,19,1,0,0,31
359,1,58,1,2,0,4
360,1,33,1,0,0,6
361,1,32,1,3,0,8
362,1,47,1,0,0,10
363,1,3,1,1,0,45
364,1,2,1,1,0,24
365,1,9,1,2,0,20
366,1,13,1,2,0,18
368,1,7,1,2,0,30
369,1,14,1,1,0,6
372,1,4,1,2,0,21
373,1,10,1,0,0,9
376,1,34,1,0,0,9
377,1,11,1,4,0,30
379,1,33,1,1,0,8
380,1,3,1,0,0,39
382,0,0,0,0,0,0
383,1,25,1,2,0,12
385,1,20,1,2,0,7
386,1,8,1,3,0,32
387,1,0,1,7,0,32
388,1,28,1,0,0,7
389,1,3,1,3,0,21
390,1,1,1,0,0,30
391,1,18,1,1,0,12
392,1,8,1,3,0,24
393,1,4,1,2,0,31
394,1,16,1,1,0,17
396,1,12,1,1,0,12
397,1,19,1,0,0,8
398,1,10,1,0,0,21
399,1,12,1,0,0,15
400,1,6,1,3,0,6
401,1,5,1,2,0,35
402,1,29,1,3,0,7
403,1,14,1,0,0,17
405,1,26,1,0,0,25
406,1,18,1,4,0,12
407,1,18,1,0,0,19
408,1,5,1,0,0,18
410,1,19,1,0,0,26
411,1,14,1,1,0,16
412,1,16,1,1,0,12
414,1,1,1,1,0,22
415,1,22,1,4,0,16
416,1,6,1,1,0,24
417,1,22,1,2,0,1
418,1,9,1,0,0,14
419,1,18,1,0,0,5
420,1,6,1,5,0,12
421,1,3,1,2,0,14
422,1,54,1,0,0,25
423,1,26,1,1,0,0
426,1,21,1,3,0,5
427,1,31,1,2,0,14
432,1,22,1,1,0,8
435,1,38,1,0,0,12
436,1,15,1,3,0,9
437,1,10,1,1,0,13
438,1,12,1,1,0,34
439,1,1,1,0,0,38
440,1,27,1,0,0,5
441,1,29,1,4,0,7
442,1,49,1,2,0,0
443,1,1,1,0,0,22
445,1,14,1,1,0,64
446,1,38,1,3,0,6
447,1,22,1,2,0,7
448,1,10,1,3,0,14
450,1,62,1,1,0,4
453,1,29,1,1,0,36
454,1,25,1,0,0,10
455,1,50,1,3,0,6
456,1,34,1,1,0,0
458,0,31,0,0,0,0
459,1,28,1,1,0,20
460,1,12,1,1,0,12
461,1,46,1,0,0,10
462,1,21,1,1,0,25
465,1,36,1,1,0,2
466,1,19,1,0,0,16
467,1,13,1,0,0,21
468,1,63,1,2,0,0
469,1,57,1,0,0,0
470,1,53,1,3,0,15
471,1,14,1,1,0,16
472,1,39,1,1,0,15
473,1,5,1,9,0,24
474,1,53,1,0,0,3
476,1,35,1,0,0,12
477,1,48,1,0,0,11
478,1,26,1,0,0,11
479,1,19,1,1,0,11
480,1,7,1,1,0,19
481,1,5,1,0,0,20
482,1,73,1,3,0,1
483,1,10,1,0,0,24
484,1,38,1,0,0,8
485,1,37,1,1,0,2
486,1,39,1,2,0,0
487,1,16,1,0,0,18
490,1,44,1,1,0,21
491,1,37,1,0,0,14
492,1,64,1,0,0,2
493,1,23,1,1,0,10
494,1,44,1,3,0,19
495,1,34,1,3,0,2
496,1,31,1,0,0,16
497,1,40,1,2,0,24
498,1,29,1,0,0,1
499,1,13,1,2,0,21
500,1,50,1,1,0,1
501,1,55,1,7,0,17
502,1,17,1,0,0,13
503,1,16,1,0,0,15
504,1,19,1,0,0,34
505,1,35,1,0,0,4
507,1,32,1,0,0,13
508,1,17,1,1,0,7
509,0,0,0,0,0,0
513,1,15,1,0,0,14
514,1,25,1,1,0,26
515,1,14,1,0,0,20
516,1,20,1,0,0,3
517,1,50,1,1,0,18
518,1,30,1,1,0,8
519,1,40,1,0,0,29
520,1,41,1,0,0,0
522,1,44,1,1,0,6
523,1,30,1,2,0,19
524,1,56,1,0,0,1
525,1,29,1,0,0,27
526,1,30,1,2,0,8
528,1,20,1,1,0,18
529,1,21,1,1,0,19
530,1,0,1,0,0,24
531,1,20,1,0,0,19
532,1,22,1,5,0,16
533,1,44,1,1,0,1
534,1,8,1,3,0,20
536,1,19,1,2,0,8
539,1,27,1,2,0,2
540,1,19,1,0,0,11
545,1,16,1,0,0,11
546,1,32,1,1,0,12
2000,0,0,0,0,0,0
2002,1,14,1,0,0,13
2003,1,27,1,1,0,26
2005,1,1,1,0,0,11
2006,1,1,1,2,0,46
2008,1,6,1,4,0,14
2009,1,3,1,7,0,25
2010,0,0,0,0,0,0
2012,1,27,1,1,0,8
2017,1,38,1,1,0,0
2021,1,32,1,1,0,10
2022,1,28,1,1,0,4
2023,1,35,1,1,0,0
3002,1,6,1,1,0,18
3016,0,0,0,0,0,0
3041,1,19,1,3,0,2
3042,1,8,1,0,0,11
3043,1,10,1,0,0,9
3044,1,11,1,5,0,11
3046,1,13,1,1,0,5
3047,1,9,1,2,0,10
3048,1,6,1,2,0,11
3049,1,16,1,0,0,2
3050,1,21,1,0,0,0
3052,1,11,1,0,0,12
3053,1,20,1,0,0,3
3054,1,17,1,0,0,2
3055,1,18,1,2,0,2
3056,1,19,1,2,0,2
3057,1,10,1,1,0,7
3058,1,4,1,5,0,15
3059,1,15,1,0,0,4
3060,1,15,1,4,0,0
3061,1,18,1,0,0,3
3062,1,12,1,1,0,10
3063,1,11,1,0,0,9
3064,1,4,1,0,0,19
3065,1,17,1,2,0,12
3066,1,18,1,1,0,0
3067,1,7,1,0,0,20
3068,1,18,1,11,0,13
3069,1,16,1,0,0,13
3070,1,14,1,2,0,7
3071,1,12,1,2,0,5
3072,1,3,1,4,0,17
3074,1,18,1,0,0,24
3075,1,24,1,2,0,7
3076,1,20,1,0,0,16
3077,1,21,1,2,0,10
3078,1,11,1,0,0,16
3080,1,7,1,0,0,14
3081,1,26,1,2,0,1
3082,1,22,1,0,0,3
3083,1,19,1,3,0,10
3085,1,16,1,0,0,9
3086,1,27,1,1,0,2
3087,1,13,1,2,0,15
3088,1,4,1,0,0,15
3092,1,0,1,1,0,26
3093,1,25,1,0,0,3
3094,1,8,1,1,0,9
3095,1,17,1,2,0,6
3096,1,18,1,1,0,20
3100,1,15,1,3,0,33
3101,1,11,1,0,0,16
3102,1,20,1,3,0,4
3105,1,6,1,0,0,18
3106,1,9,1,0,0,13
3107,1,22,1,0,0,17
3108,1,22,1,1,0,28
3109,1,3,1,1,0,27
3110,1,2,1,2,0,24
3112,1,3,1,1,0,29
3113,1,5,1,2,0,20
3115,1,40,1,0,0,9
3116,1,4,1,0,0,31
3117,1,7,1,2,0,18
3118,1,33,1,0,0,9
3119,1,31,1,0,0,14
3121,1,2,1,1,0,24
3122,1,5,1,2,0,24
3123,1,13,1,2,0,12
3124,1,9,1,1,0,17
3125,1,17,1,0,0,6
3126,1,29,1,1,0,4
3127,1,27,1,0,0,8
3128,1,4,1,1,0,18
3129,1,28,1,0,0,3
3130,1,17,1,0,0,14
3131,1,31,1,0,0,0
3132,1,33,1,0,0,2
3134,1,46,1,1,0,4
3135,1,32,1,1,0,8
3136,1,40,1,2,0,5
3137,1,26,1,2,0,3
3139,1,43,1,0,0,0
3140,1,30,1,3,0,22
3141,1,45,1,3,0,11
3142,1,34,1,2,0,5
3143,1,31,1,2,0,14
3144,1,39,1,0,0,7
3145,1,40,1,0,0,5
3146,1,37,1,0,0,10
3148,1,4,1,1,0,26
3150,1,0,1,7,0,3
3151,1,32,1,0,0,11
3152,1,39,1,0,0,3
3154,1,21,1,0,0,10
3155,1,36,1,0,0,3
3156,1,33,1,0,0,4
3157,1,24,1,0,0,3
3158,1,30,1,0,0,1
3159,1,7,1,0,0,24
3160,1,25,1,1,0,13
3161,1,40,1,0,0,19
3162,1,23,1,4,0,12
3163,1,20,1,1,0,22
3164,1,40,1,0,0,27
3165,1,14,1,0,0,37
3166,1,21,1,5,0,15
3167,1,22,1,10,0,16
3168,1,24,1,1,0,6
3169,1,32,1,1,0,6
3170,1,26,1,0,0,9
3171,1,11,1,1,0,27
3172,1,24,1,0,0,3
3173,1,14,1,2,0,23
3175,1,27,1,0,0,4
3177,1,38,1,1,0,24
3178,1,24,1,0,0,15
3179,1,15,1,5,0,2
3180,0,0,0,0,0,0
3182,1,26,1,0,0,16
3183,1,22,1,0,0,8
3184,1,5,1,0,0,9
3185,1,8,1,0,0,14
3186,1,36,1,1,0,5
3187,1,12,1,1,0,9
3191,1,7,1,0,0,11
3192,1,5,1,0,0,17
3193,1,9,1,0,0,9
3194,1,13,1,1,0,8
3195,1,30,1,0,0,4
3196,1,10,1,0,0,8
3198,1,8,1,0,0,10
3199,1,9,1,1,0,4
3201,1,13,1,0,0,5
3202,1,14,1,1,0,3
3203,1,6,1,0,0,20
3205,1,5,1,1,0,15
3206,1,20,1,0,0,6
3207,1,13,1,2,0,11
3209,1,9,1,1,0,12
3210,1,11,1,0,0,7
3211,1,12,1,1,0,9
3212,1,14,1,0,0,8
3213,1,19,1,0,0,3
3214,1,16,1,1,0,4
3220,1,11,1,0,0,7
3221,1,5,1,1,0,21
3223,1,52,1,0,0,1
3225,1,7,1,1,0,6
3226,1,25,1,0,0,20
3231,1,39,1,0,0,0
3232,1,15,1,1,0,15
3233,1,39,1,0,0,0
3235,1,29,1,0,0,2
3236,1,15,1,0,0,18
3241,1,16,1,1,0,2
3242,1,24,1,1,0,14
3243,1,23,1,1,0,5
3244,1,27,1,1,0,14
3249,1,15,1,1,0,3
3254,1,1,1,1,0,27
3255,1,0,1,1,0,18
3256,1,10,1,3,0,10
3258,1,16,1,2,0,19
3259,1,10,1,4,0,13
3260,1,38,1,3,0,4
3263,1,23,1,3,0,33
3267,1,3,1,0,0,11
3268,1,11,1,0,0,3
3269,1,10,1,0,0,4
3270,1,9,1,0,0,3
3272,1,11,1,0,0,3
3273,1,0,1,0,0,18
3275,1,6,1,0,0,8
3276,1,15,1,0,0,11
3277,1,3,1,0,0,11
3278,1,1,1,0,0,13
3279,1,9,1,0,0,9
3280,1,3,1,0,0,11
3281,1,10,1,0,0,4
3282,1,33,1,2,0,3
3283,1,23,1,2,0,22
3284,1,38,1,0,0,0
3285,1,9,1,1,0,33
3286,1,33,1,2,0,4
3288,1,14,1,0,0,25
3289,1,30,1,0,0,2
3290,1,3,1,1,0,31
3292,1,39,1,1,0,3
3293,1,24,1,0,0,0
3294,1,37,1,0,0,1
3295,1,23,1,4,0,32
3296,1,9,1,0,0,33
3297,1,18,1,0,0,3
3298,1,16,1,0,0,7
3299,1,22,1,2,0,1
3300,1,13,1,3,0,9
3301,1,23,1,0,0,16
3302,1,17,1,0,0,5
3303,1,8,1,0,0,17
3304,1,9,1,0,0,18
3305,1,20,1,0,0,19
3306,1,20,1,0,0,2
3307,1,23,1,0,0,8
3308,1,7,1,1,0,19
3309,1,25,1,0,0,5
3310,1,19,1,0,0,5
3311,1,2,1,1,0,18
3312,1,0,1,3,0,36
3313,1,4,1,2,0,23
3314,1,21,1,0,0,11
3315,1,3,1,0,0,20
3317,1,2,1,2,0,20
3318,1,12,1,0,0,27
3319,1,3,1,2,0,16
3320,1,36,1,0,0,13
3321,1,20,1,0,0,5
3322,1,1,1,0,0,24
3323,1,46,1,2,0,11
3324,1,3,1,0,0,22
3326,1,4,1,1,0,16
3327,1,16,1,1,0,10
3328,1,34,1,0,0,5
3329,1,8,1,1,0,18
3330,1,0,1,0,0,19
3331,1,30,1,1,0,8
3332,1,3,1,1,0,15
3333,1,0,1,0,0,21
3335,1,0,1,1,0,27
3336,1,34,1,0,0,6
3337,1,0,1,0,0,23
3338,1,4,1,0,0,27
3339,1,3,1,0,0,20
3340,1,0,1,0,0,21
3341,1,30,1,1,0,10
3342,1,0,1,0,0,23
3343,1,15,1,0,0,8
3344,1,7,1,0,0,12
3345,1,30,1,2,0,3
3346,1,14,1,1,0,14
3347,1,0,1,2,0,19
3348,1,2,1,0,0,17
3349,1,29,1,0,0,1
3350,1,20,1,0,0,19
3351,1,8,1,1,0,13
3352,1,0,1,0,0,21
3354,1,22,1,3,0,5
3355,1,25,1,0,0,0
3356,1,18,1,1,0,2
3357,1,26,1,1,0,8
3358,1,20,1,0,0,5
3359,1,34,1,0,0,1
3360,1,7,1,0,0,18
3361,1,5,1,0,0,18
3362,1,33,1,1,0,0
3363,1,27,1,0,0,6
3364,1,0,1,1,0,26
3365,1,21,1,0,0,6
3366,1,18,1,0,0,13
3367,1,33,1,1,0,5
3368,1,0,1,0,0,30
3369,1,22,1,1,0,6
3370,1,24,1,0,0,1
3372,1,24,1,1,0,14
3373,1,1,1,1,0,25
3374,1,0,1,2,0,34
3375,1,31,1,0,0,4
3376,1,32,1,0,0,6
3377,1,6,1,0,0,19
3378,1,28,1,0,0,0
3379,1,6,1,2,0,27
3381,1,3,1,0,0,18
3382,1,18,1,0,0,13
3383,1,24,1,0,0,1
3384,1,24,1,1,0,0
3386,1,23,1,1,0,3
3387,1,6,1,0,0,19
3388,1,4,1,4,0,17
3389,1,2,1,0,0,26
3390,1,8,1,0,0,16
3391,1,4,1,0,0,21
3392,1,3,1,0,0,16
3393,1,0,1,0,0,19
3394,1,0,1,0,0,21
3395,1,6,1,0,0,13
3396,1,24,1,1,0,0
3397,1,6,1,0,0,19
3398,1,11,1,1,0,10
3399,1,0,1,1,0,23
3400,1,9,1,2,0,13
3401,1,0,1,1,0,18
3402,1,5,1,0,0,18
3403,1,0,1,0,0,31
3404,1,1,1,0,0,26
3405,1,9,1,0,0,14
3407,1,0,1,0,0,23
3408,1,15,1,2,0,10
3409,1,6,1,2,0,27
3410,1,4,1,0,0,27
3411,1,2,1,4,0,21
3412,1,18,1,0,0,0
3413,1,1,1,0,0,21
3414,1,10,1,0,0,23
3415,1,18,1,0,0,7
3416,1,12,1,0,0,13
3417,1,5,1,0,0,22
3418,1,31,1,1,0,1
3419,1,9,1,1,0,17
3420,1,7,1,2,0,12
3422,1,2,1,0,0,19
3423,1,10,1,1,0,17
3424,1,7,1,3,0,17
3425,1,6,1,0,0,27
3427,1,37,1,3,0,0
3429,1,16,1,1,0,22
3430,1,15,1,2,0,8
3434,1,14,1,0,0,21
3435,1,36,1,3,0,6
3437,1,24,1,3,0,12
3440,1,26,1,1,0,16
3443,1,40,1,0,0,1
3449,1,16,1,1,0,1
3452,1,37,1,1,0,5
3453,1,7,1,0,0,12
3454,1,18,1,0,0,6
3456,1,20,1,0,0,2
3457,1,23,1,1,0,21
3458,1,36,1,0,0,4
3459,1,21,1,0,0,13
3461,1,13,1,1,0,19
3463,1,2,1,0,0,35
3467,1,6,1,0,0,36
3469,1,0,1,0,0,23
3472,1,25,1,2,0,12
3477,1,2,1,0,0,31
3478,1,2,1,1,0,40
3479,1,7,1,1,0,37
3481,1,18,1,0,0,4
3483,1,7,1,0,0,6
3486,1,6,1,0,0,24
3490,1,9,1,0,0,22
3491,1,23,1,0,0,1
3492,1,27,1,0,0,0
3493,1,28,1,0,0,3
3494,1,21,1,0,0,4
3495,1,2,1,1,0,23
3496,1,1,1,0,0,23
3497,1,23,1,0,0,0
3498,1,7,1,1,0,13
3499,1,23,1,0,0,2
3500,1,12,1,0,0,19
3501,1,23,1,1,0,5
3502,1,10,1,5,0,14
3503,1,18,1,0,0,12
3504,1,26,1,1,0,0
3505,1,24,1,1,0,8
3506,1,24,1,0,0,5
3507,1,25,1,0,0,11
3508,1,23,1,0,0,8
3509,1,21,1,0,0,10
3510,1,20,1,0,0,11
3511,1,8,1,3,0,11
3512,1,1,1,1,0,17
3513,1,18,1,1,0,2
3514,1,7,1,1,0,14
3515,1,17,1,0,0,2
3516,1,29,1,0,0,2
3517,1,35,1,0,0,0
3518,1,5,1,1,0,28
3520,1,9,1,3,0,15
3521,1,9,1,0,0,27
3522,1,15,1,0,0,4
3523,1,25,1,0,0,0
3524,1,15,1,0,0,8
3525,1,16,1,0,0,5
3526,1,25,1,0,0,2
3527,1,18,1,2,0,7
3528,1,16,1,0,0,5
3529,1,19,1,0,0,6
3530,1,16,1,0,0,3
3531,1,9,1,0,0,18
3532,1,12,1,4,0,11
3533,1,20,1,4,0,10
3534,1,8,1,0,0,31
3535,1,8,1,1,0,18
3536,1,43,1,0,0,0
3537,1,24,1,1,0,4
3538,1,26,1,0,0,18
3539,1,43,1,0,0,0
3540,1,26,1,1,0,8
3541,1,0,1,7,0,5
3542,1,29,1,0,0,0
3543,1,35,1,0,0,0
3544,1,21,1,0,0,6
3545,1,10,1,1,0,2
3546,1,18,1,0,0,2
3547,1,25,1,1,0,14
3549,1,22,1,0,0,3
3551,1,4,1,1,0,18
3552,1,37,1,0,0,2
3553,1,9,1,1,0,27
3554,1,22,1,0,0,5
3555,1,25,1,1,0,1
3556,1,17,1,0,0,2
3557,1,16,1,0,0,3
3558,1,26,1,0,0,1
3559,1,8,1,0,0,11
3560,1,19,1,0,0,0
3561,1,26,1,0,0,0
3562,1,24,1,1,0,2
3563,1,26,1,0,0,3
3564,1,17,1,0,0,2
3565,1,14,1,0,0,5
3566,1,18,1,1,0,6
3567,1,14,1,0,0,5
3568,1,20,1,0,0,1
3569,1,18,1,1,0,10
3570,1,23,1,0,0,8
3571,1,13,1,2,0,9
3572,1,28,1,1,0,4
3573,1,22,1,1,0,2
3574,1,22,1,1,0,0
3575,1,14,1,0,0,5
3576,1,25,1,0,0,2
3577,1,14,1,1,0,8
3578,1,17,1,0,0,4
3579,1,25,1,0,0,0
3580,1,30,1,0,0,0
3581,1,27,1,0,0,0
3582,1,27,1,1,0,0
3583,1,29,1,2,0,0
3584,1,41,1,0,0,1
3585,1,16,1,2,0,6
3586,1,16,1,0,0,3
3587,1,26,1,0,0,1
3588,1,1,1,0,0,20
3589,1,7,1,1,0,11
3590,1,16,1,0,0,3
3591,1,13,1,3,0,5
3592,1,14,1,0,0,5
3593,1,27,1,0,0,8
3595,1,4,1,2,0,12
3596,1,2,1,0,0,17
3597,1,21,1,0,0,4
3598,1,15,1,1,0,3
3599,1,0,1,2,0,25
3601,1,0,1,1,0,18
3602,1,22,1,0,0,1
3603,1,18,1,0,0,3
3604,1,0,1,1,0,16
3605,1,17,1,0,0,4
3606,1,9,1,1,0,11
3607,1,16,1,0,0,3
3608,1,13,1,0,0,8
3609,1,15,1,0,0,8
3610,1,22,1,1,0,4
3611,1,21,1,1,0,9
3612,1,11,1,2,0,2
3613,1,7,1,1,0,19
3614,1,20,1,1,0,2
3615,1,13,1,0,0,8
3616,1,23,1,1,0,1
3617,1,23,1,1,0,3
3618,1,20,1,1,0,4
3619,1,16,1,0,0,3
3620,1,14,1,0,0,9
3621,1,14,1,0,0,5
3622,1,1,1,0,0,14
3623,1,38,1,0,0,1
3628,1,13,1,5,0,11
3629,1,3,1,10,0,20
3630,1,11,1,0,0,22
3631,1,22,1,0,0,5
3637,1,11,1,2,0,18
3638,1,10,1,0,0,8
3639,1,24,1,0,0,6
3640,1,14,1,1,0,3
3641,1,42,1,1,0,11
3646,1,23,1,0,0,3
3647,1,3,1,0,0,20
3648,1,16,1,2,0,7
3649,1,24,1,3,0,3
3654,1,33,1,0,0,2
3656,1,12,1,3,0,31
3658,1,2,1,4,0,21
3659,0,0,0,0,0,0
3660,1,35,1,0,0,4
3661,1,13,1,3,0,3
3662,1,18,1,2,0,1
3664,1,15,1,2,0,13
3668,1,13,1,0,0,13
3671,1,31,1,0,0,6
3673,1,0,1,0,0,21
3674,1,10,1,3,0,14
3675,1,29,1,1,0,1
3676,1,2,1,0,0,22
3677,1,11,1,1,0,6
3678,1,8,1,0,0,10
3679,1,12,1,0,0,2
3680,1,54,1,0,0,1
3681,1,2,1,0,0,16
3686,1,27,1,5,0,7
3687,1,39,1,4,0,16
3689,1,29,1,0,0,18
3690,1,36,1,0,0,0
3691,1,10,1,0,0,9
3692,1,15,1,0,0,0
3693,1,5,1,1,0,21
3694,1,10,1,0,0,8
3697,1,7,1,1,0,35
3699,1,28,1,0,0,2
3701,1,9,1,2,0,26
3704,1,14,1,0,0,5
3707,1,27,1,1,0,27
3708,1,20,1,1,0,8
3709,1,31,1,3,0,17
3711,1,20,1,0,0,27
3712,1,24,1,0,0,17
3714,1,32,1,0,0,29
3715,1,26,1,0,0,5
3716,1,13,1,1,0,9
3718,1,27,1,0,0,19
3720,1,6,1,1,0,16
3721,1,31,1,0,0,4
3723,1,23,1,0,0,7
3724,1,32,1,2,0,5
3725,1,38,1,0,0,3
3726,1,16,1,0,0,4
3727,1,21,1,1,0,16
3728,1,19,1,0,0,5
3733,1,32,1,0,0,14
3734,1,42,1,1,0,7
3737,1,3,1,1,0,31
3745,1,24,1,0,0,3
3746,1,27,1,5,0,16
3747,1,7,1,1,0,25
3749,1,21,1,1,0,1
3755,1,11,1,2,0,6
3756,1,7,1,0,0,14
3757,1,9,1,2,0,12
3758,1,7,1,0,0,12
3759,1,0,1,0,0,19
3760,1,0,0,0,0,22
3761,1,0,1,1,0,26
3762,1,1,1,1,0,25
3763,1,2,1,1,0,24
3764,1,17,1,0,0,4
3765,1,21,1,0,0,0
3766,1,20,1,1,0,3
3767,1,17,1,0,0,2
3768,1,20,1,0,0,3
3769,1,7,1,1,0,15
3771,1,0,1,1,0,0
3772,1,13,1,0,0,6
3775,1,5,1,1,0,21
3776,1,1,1,1,0,21
3781,1,4,1,4,0,22
